Variable,Unit,Definition
OM Cost|Fixed|Liquids|Biomass|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS BTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Biomass|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Biomass|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS BTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Biomass|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Biomass|w/ CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS BTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Biomass|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Biomass|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented BTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Biomass|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Biomass|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented BTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Biomass|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Biomass|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented BTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Biomass|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which BTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Coal|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS CTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Coal|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Coal|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS CTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Coal|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Coal|w/ CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS CTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Coal|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Coal|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Coal|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Coal|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Coal|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Coal|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Coal|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which CTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Gas|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new gas to liquids plant with CCS. If more than one CCS GTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented CCS GTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Gas|w/ CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS GTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Gas|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new gas to liquids plant w/o CCS. If more than one GTL technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented GTL technology by adding variables Annual fixed operation & maintainance cost|Liquids|Gas|w/o CCS|2, ... Annual fixed operation & maintainance cost|Liquids|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which GTL technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Oil|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new oil refining plant w/o CCS. If more than one refinery technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented refinery technology by adding variables Annual fixed operation & maintainance cost|Liquids|Oil|2, ... Annual fixed operation & maintainance cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Oil|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new oil refining plant w/o CCS. If more than one refinery technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented refinery technology by adding variables Annual fixed operation & maintainance cost|Liquids|Oil|2, ... Annual fixed operation & maintainance cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Oil|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new oil refining plant with CCS. If more than one refinery technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented refinery technology by adding variables Annual fixed operation & maintainance cost|Liquids|Oil|2, ... Annual fixed operation & maintainance cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Oil|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new oil refining plant with CCS. If more than one refinery technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented refinery technology by adding variables Annual fixed operation & maintainance cost|Liquids|Oil|2, ... Annual fixed operation & maintainance cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Fixed|Liquids|Oil|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Annual fixed operation & maintainance cost of a new oil refining plant with CCS. If more than one refinery technology is modelled, modellers should report Annual fixed operation & maintainance costs for each represented refinery technology by adding variables Annual fixed operation & maintainance cost|Liquids|Oil|2, ... Annual fixed operation & maintainance cost|Liquids|Oil|N (with N = number of represented technologies). It is modeller's choice which refinery technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Biomass|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS biomass power technology by adding variables Variable operation & maintainance cost|Electricity|Biomass|w/ CCS|2, ... Variable operation & maintainance cost|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Biomass|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report Variable operation & maintainance costs for each represented biomass power technology by adding variables Variable operation & maintainance cost|Electricity|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Biomass|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report Variable operation & maintainance costs for each represented biomass power technology by adding variables Variable operation & maintainance cost|Electricity|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Coal|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report Variable operation & maintainance costs for each represented CCS coal power technology by adding variables Variable operation & maintainance cost|Electricity|Coal|w/ CCS|2, ... Variable operation & maintainance cost|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Coal|w/ CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report Variable operation & maintainance costs for each represented CCS coal power technology by adding variables Variable operation & maintainance cost|Electricity|Coal|w/ CCS|2, ... Variable operation & maintainance cost|Electricity|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Coal|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Variable operation & maintainance costs for each represented coal power technology by adding variables Variable operation & maintainance cost|Electricity|Coal|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Coal|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Variable operation & maintainance costs for each represented coal power technology by adding variables Variable operation & maintainance cost|Electricity|Coal|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Coal|w/o CCS|3,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Variable operation & maintainance costs for each represented coal power technology by adding variables Variable operation & maintainance cost|Electricity|Coal|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Coal|w/o CCS|4,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report Variable operation & maintainance costs for each represented coal power technology by adding variables Variable operation & maintainance cost|Electricity|Coal|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Gas|w/ CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS gas power technology by adding variables Variable operation & maintainance cost|Electricity|Gas|w/ CCS|2, ... Variable operation & maintainance cost|Electricity|Gas|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Gas|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report Variable operation & maintainance costs for each represented gas power technology by adding variables Variable operation & maintainance cost|Electricity|Gas|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Gas|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report Variable operation & maintainance costs for each represented gas power technology by adding variables Variable operation & maintainance cost|Electricity|Gas|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Gas|w/o CCS|3,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report Variable operation & maintainance costs for each represented gas power technology by adding variables Variable operation & maintainance cost|Electricity|Gas|w/o CCS|2, ... Variable operation & maintainance cost|Electricity|Gas|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which gas power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Geothermal,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new geothermal power plant. If more than one geothermal power technology is modelled, modellers should report Variable operation & maintainance costs for each represented geothermal power technology by adding variables Variable operation & maintainance cost|Electricity|Geothermal|2, ... Variable operation & maintainance cost|Electricity|Geothermal|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Hydro,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report Variable operation & maintainance costs for each represented hydropower technology by adding variables Variable operation & maintainance cost|Electricity|Hydro|2, ... Variable operation & maintainance cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Hydro|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report Variable operation & maintainance costs for each represented hydropower technology by adding variables Variable operation & maintainance cost|Electricity|Hydro|2, ... Variable operation & maintainance cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Hydro|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report Variable operation & maintainance costs for each represented hydropower technology by adding variables Variable operation & maintainance cost|Electricity|Hydro|2, ... Variable operation & maintainance cost|Electricity|Hydro|N (with N = number of represented technologies). It is modeller's choice which hydropower technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Nuclear,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report Variable operation & maintainance costs for each represented nuclear power technology by adding variables Variable operation & maintainance cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Nuclear|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report Variable operation & maintainance costs for each represented nuclear power technology by adding variables Variable operation & maintainance cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Nuclear|2,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV; LWR, thermal reactors with other moderator materials, fast breeders), modellers should report Variable operation & maintainance costs for each represented nuclear power technology by adding variables Variable operation & maintainance cost|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies). It is modeller's choice which nuclear power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Ocean,US$2010/kW/yr OR local currency/kW/yr,Variable operation & maintainance cost of operating ocean power plants
OM Cost|Variable|Electricity|Oil|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new oil power plants with CCS, including plants held in an operating reserve. The installed (available) capacity of CCS oil power plants by plant type for which Variable operation & maintainance costs are reported should be reported by adding variables Capacity|Electricity|oil|w/ CCS|1, ..., Capacity|Electricity|oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of Variable operation & maintainance costs as documented in the comments sheet). "
OM Cost|Variable|Electricity|Oil|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,Variable operation & maintainance cost of a newoil plants
OM Cost|Variable|Electricity|Oil|w/o CCS|1,US$2010/kW/yr OR local currency/kW/yr,Variable operation & maintainance cost of a newoil plants
OM Cost|Variable|Electricity|Oil|w/o CCS|2,US$2010/kW/yr OR local currency/kW/yr,Variable operation & maintainance cost of a newoil plants
OM Cost|Variable|Electricity|Oil|w/o CCS|3,US$2010/kW/yr OR local currency/kW/yr,Variable operation & maintainance cost of a newoil plants
OM Cost|Variable|Electricity|Solar|CSP|1,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new concentrated solar power plant. If more than one CSP technology is modelled (e.g., parabolic trough, solar power tower), modellers should report Variable operation & maintainance costs for each represented CSP technology by adding variables Variable operation & maintainance cost|Electricity|Solar|CSP|2, ... Capital|Cost|Electricity|Solar|CSP|N (with N = number of represented CSP technologies). It is modeller's choice which CSP technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Solar|CSP|2,US$2010/kW/yr OR local currency/kW/yr,
OM Cost|Variable|Electricity|Solar|PV,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report Variable operation & maintainance costs for each represented PV technology by adding variables Variable operation & maintainance cost|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies). It is modeller's choice which PV technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Storage,US$2010/kW/yr OR local currency/kW/yr,
OM Cost|Variable|Electricity|Wind|Offshore,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new offshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one offshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report Variable operation & maintainance costs for each represented wind power technology by adding variables Variable operation & maintainance cost|Electricity|Wind|Offshore|2, ... Capital|Cost|Electricity|Wind|Offshore|N (with N = number of represented offshore wind power technologies). It is modeller's choice which offshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Electricity|Wind|Onshore,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new onshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one onshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report Variable operation & maintainance costs for each represented wind power technology by adding variables Variable operation & maintainance cost|Electricity|Wind|Onshore|2, ... Capital|Cost|Electricity|Wind|Onshore|N (with N = number of represented onshore wind power technologies). It is modeller's choice which onshore wind power technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Gases|Biomass|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to gas plant with CCS. If more than one CCS biomass to gas technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS biomass to  gas technology by adding variables Variable operation & maintainance cost|Gases|Biomass|w/ CCS|2, ... Variable operation & maintainance cost|Gases|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Gases|Biomass|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to gas plant w/o CCS. If more than one biomass to gas technology is modelled, modellers should report Variable operation & maintainance costs for each represented biomass to gas technology by adding variables Variable operation & maintainance cost|Gases|Biomass|w/o CCS|2, ... Variable operation & maintainance cost|Gases|Biomass|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which biomass to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Gases|Coal|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal to gas plant with CCS. If more than one CCS coal to gas technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS coal to  gas technology by adding variables Variable operation & maintainance cost|Gases|Coal|w/ CCS|2, ... Variable operation & maintainance cost|Gases|Coal|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Gases|Coal|w/o CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new coal to gas plant w/o CCS. If more than one coal to gas technology is modelled, modellers should report Variable operation & maintainance costs for each represented coal to gas technology by adding variables Variable operation & maintainance cost|Gases|Coal|w/o CCS|2, ... Variable operation & maintainance cost|Gases|Coal|w/o CCS|N (with N = number of represented technologies). It is modeller's choice which coal to gas technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
OM Cost|Variable|Hydrogen|Biomass|w/ CCS,US$2010/kW/yr OR local currency/kW/yr,"Variable operation & maintainance cost of a new biomass to hydrogen plant with CCS. If more than one CCS biomass to hydrogen technology is modelled, modellers should report Variable operation & maintainance costs for each represented CCS biomass to hydrogen technology by adding variables Variable operation & maintainance cost|Hydrogen|Biomass|w/ CCS|2, ... Variable operation & maintainance cost|Hydrogen|Biomass|w/ CCS|N (with N = number of represented technologies). It is modeller's choice which CCS biomass to hydrogen technologies to assign to type 1 (assigned to the variable without number suffix),2,...,N. The assignment should be documented in the comments sheet. "
